tmdb_person_id,name,biography,birthday,place_of_birth,profile_path,popularity
1704,Gore Verbinski,"Gregor Justin ""Gore"" Verbinski (born March 16, 1964) is an American film director, screenwriter, and producer. He is best known for directing Mouse Hunt, The Ring, the first three Pirates of the Caribbean films, and  Rango. For Rango, Verbinski won both the Academy Award and BAFTA Award for Best Animated Film.",1964-03-16,"Oak Ridge, Tennessee, USA",/rSQRdmLNAwdKxrtvBSSlBmWeSsj.jpg,4.4274
1634181,Rich Lee,"Richard ""Rich"" T. Lee is an American music video and commercial director. He has directed what's considered to be one of the worst films, possibly ever made, called ""War of the Worlds"".",,"Reno, Nevada, USA",/r7WIjhtHWcnRJO3nlao6jwsrWG6.jpg,1.051
2710,James Cameron,"James Francis Cameron (born August 16, 1954) is a Canadian filmmaker. He is a major figure in the post-New Hollywood era and often uses novel technologies with a classical filmmaking style. Cameron first gained recognition for writing and directing The Terminator (1984), and found further success with Aliens (1986), The Abyss (1989), Terminator 2: Judgment Day (1991), and True Lies (1994), as well as Avatar (2009) and its sequels. He directed, wrote, co-produced, and co-edited Titanic (1997), winning Academy Awards for Best Picture, Best Director, and Best Film Editing. He is a recipient of various other industry accolades, and three of his films have been selected for preservation in the National Film Registry by the Library of Congress.

Cameron co-founded the production companies Lightstorm Entertainment, Digital Domain, and Earthship Productions. In addition to filmmaking, he is a National Geographic explorer-in-residence. He has produced many documentaries on deep-ocean exploration, including Ghosts of the Abyss (2003) and Aliens of the Deep (2005). Cameron has also contributed to underwater filming and remote vehicle technologies and helped create the digital 3D Fusion Camera System. In 2012, Cameron became the first person to solo descend the Mariana Trench, the deepest part of the Earth's ocean, in the Deepsea Challenger submersible.

Cameron's films have grossed over $8 billion worldwide, making him the second-highest-grossing film director. Three of Cameron's films are among the top four highest-grossing films of all time; Avatar (2009), Avatar: The Way of Water (2022) and Titanic (1997) are the highest, third-highest and fourth-highest-grossing films of all time, respectively. Cameron directed the first film to gross over $1 billion, the first two films to gross over $2 billion, and is the only director to have had three films grossing over $2 billion. In 2010, Time named Cameron one of the 100 most influential people in the world. Cameron is also an environmentalist and runs several sustainability businesses.

Description above from the Wikipedia article James Cameron, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1954-08-16,"Kapuskasing, Ontario, Canada",/9NAZnTjBQ9WcXAQEzZpKy4vdQto.jpg,6.1981
1252934,Emerald Fennell,"Emerald Lilly Fennell (born 1 October 1985) is an English actress, filmmaker, and writer. She has received numerous accolades, including an Academy Award, two BAFTA Awards, and nominations for three Primetime Emmy Awards and three Golden Globe Awards.

Fennell first gained attention for her roles in period films, such as Albert Nobbs (2011),  Anna Karenina (2012), and The Danish Girl (2015). She gained prominence for her starring role in the BBC One drama series Call the Midwife (2013–2017) and for her portrayal of Camilla Parker-Bowles in the Netflix drama series The Crown (2019–2020), the latter of which garnered her a Primetime Emmy Award nomination.

As a writer-director, Fennell is known as the showrunner for season two of the BBC spy thriller series Killing Eve (2019), which earned her two Primetime Emmy Award nominations. She made her feature film directorial debut with the thriller Promising Young Woman (2020), for which she won the Academy Award for Best Original Screenplay and received nominations for Best Picture and Best Director. Fennell also wrote the book for Andrew Lloyd Webber's musical Cinderella (2021) and directed her second film, the psychological thriller Saltburn (2023).

Description above from the Wikipedia article Emerald Fennell, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1985-10-01,"Hammersmith, London, England, UK",/ytyHUsPb7Saulczm8nCJHypIWQF.jpg,1.8259
8296,Christophe Gans,"Christophe Gans is a French film director, producer and screenwriter, who specializes in horror and fantasy movies.  

Gans was born in Antibes, France. As a teenager, he spent a large portion of his time creating kung fu-themed Super 8 movies with his friends. He later went on to attend the French film school Idhec, where he created his first short film, Silver Slime. He later spent time as a film critic before co-directing his first film, Necronomicon.

His $29 million-budgeted film Brotherhood of the Wolf was a worldwide success, grossing over $70 million+  in theaters worldwide. It became the second-highest-grossing French-language film in the United States since 1980.",1960-03-11,"Antibes, France",/x4ILnMIY8hYXFpJj5d4M2VTQeFb.jpg,0.8216
116805,Paul Feig,"Paul Feig (/fiːɡ/; born September 17, 1962) is an American film director, producer, screenwriter and actor. He is best known for directing films such as Bridesmaids (2011), The Heat (2013), Spy (2015), Ghostbusters (2016), A Simple Favor (2018), and Last Christmas (2019). He often collaborates with actress Melissa McCarthy.

Feig created the comedy series Freaks and Geeks (1999–2000) and Other Space (2015). He has also directed several episodes of Arrested Development, Nurse Jackie, Mad Men, The Office, Parks and Recreation, 30 Rock, and Weeds. He received nominations for two Primetime Emmy Awards for writing on Freaks and Geeks, and two for producing and directing on The Office. His most notable acting roles were as Bobby Wynn in the sitcom The Jackie Thomas Show (1992–1993), Tim the Camp Counselor in the comedy film Heavyweights (1995), and Mr. Eugene Pool on the sitcom Sabrina the Teenage Witch (1996–1997).

Description above from the Wikipedia Paul Feig, article licensed under CC-BY-SA, full list of contributors on Wikipedia.",1962-09-17,"Royal Oak, Michigan, USA",/mE3eFY3gq1UQ7Rj2He2YbZ7PFya.jpg,1.549
568322,Dan Trachtenberg,"Dan Trachtenberg (born May 11, 1981) is an American filmmaker and podcast host.

He is best known for directing the films 10 Cloverfield Lane (2016) and Prey (2022), the former earning him a Directors Guild of America Award nomination for Outstanding Directing – First-Time Feature Film. For television, he directed the pilot episodes of The Boys (2019) and The Lost Symbol (2021), the latter of which he also served as an executive producer. 

Trachtenberg was one of three hosts of The Totally Rad Show podcast and a former co-host of the Geekdrome podcast. He also directed episodes for the Ctrl+Alt+Chicken podcast, all hosted at Revision3. He directed the 2011 short film Portal: No Escape, an episode of Black Mirror entitled ""Playtest,"" and various television commercials and public service announcements.

Description above from the Wikipedia article Dan Trachtenberg, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1981-05-11,"Philadelphia, Pennsylvania, USA",/crABZLMi5SAz7rKm0wV6JUOeKs5.jpg,1.3283
26458,Kevin Williamson,"Kevin Meade Williamson (born March 14, 1965) is an American screenwriter and director, best known for creating the Scream franchise. In 1995, and unhappy with his futile attempts to get an acting career off the ground, Williamson wrote a self-referential comedy horror script titled Scary Movie, which was subsequently bought by Miramax Films and put into production under filmmaker Wes Craven. Retitled Scream, the movie was a sleeper smash upon release in 1996 and was credited with reviving the horror genre as a commercial money-maker. It has, as of 2026, spawned six sequels and a TV spin-off series. The success of Scream led to Williamson becoming one of the most in-demand screenwriters of the era, with some of his biggest hits including the thriller I Know What You Did Last Summer (1997), the alien invasion film The Faculty (1998), and the TV drama Dawson’s Creek (1998), which was loosely inspired by his own coming-of-age and ran for six seasons. He also made his directorial debut with the black comedy Teaching Mrs Tingle in 1999.

Williamson’s other credits include the TV series The Vampire Diaries (2009) and The Following (2013), as well as the werewolf horror film Cursed (2005). In 2026, Williamson returned to the world of Scream – having only served as a producer on the third, fifth and sixth entries in the franchise – as the co-writer and director of Scream 7.",1965-03-14,"New Bern, North Carolina, USA",/COwE9mGlyMHy2OWkidCffoyap2.jpg,1.4358
1056121,Ryan Coogler,"Ryan Kyle Coogler (born May 23, 1986) is an American filmmaker. He has received an Academy Award, a BAFTA Award, four Black Reel Awards, a Grammy Award, a Golden Globe Award, and ten NAACP Image Awards.

Coogler directed a few short films at the USC School of Cinematic Arts before his feature-length debut with Fruitvale Station (2013). He then transitioned to directing and writing franchise films, including the Rocky series spinoff, Creed (2015), as well as the Marvel films Black Panther (2018) and Black Panther: Wakanda Forever (2022). Coogler also produced the historical drama Judas and the Black Messiah (2021) and the supernatural horror film Sinners (2025), which he also wrote and directed. He received nominations for the Academy Award for Best Picture for both films, while for Sinners, he was also nominated for Best Director and won the Oscar for Best Original Screenplay.

In 2013, he was included on Time's list of the 30 people under 30 who are changing the world. In 2018, Coogler was named the runner-up of Time's Person of the Year, and he was included in the annual Time 100 list of the most influential people in the world. In 2021, Coogler, his wife, Zinzi Coogler, and Sev Ohanian founded multimedia production company Proximity Media.

Description above from the Wikipedia article Ryan Coogler, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1986-05-23,"Oakland, California, USA",/dux4DCDaL6c639DTXGiV7nm1wcN.jpg,11.8272
59104,Jonny Campbell,"​From Wikipedia, the free encyclopedia.  

Jonny Campbell is a British television director.

Description above from the Wikipedia article Jonny Campbell, licensed under CC-BY-SA, full list of contributors on Wikipedia.",,Unknown,/iwS1U5YWw2DM1N414aWWODhl2MK.jpg,1.2699
1395183,Chloé Zhao,"Chloé Zhao (born Zhao Ting, in Chinese: 赵婷; 31 March 1982) is a Chinese-born filmmaker. She is known primarily for her work on independent films. For her film Nomadland (2020), Zhao is the second of three women to win the Academy Award for Best Director.

Songs My Brothers Taught Me (2015), her debut feature film, premiered at Sundance Film Festival to critical acclaim and earned a nomination for the Independent Spirit Award for Best First Feature. The Rider (2017) was critically acclaimed and received nominations for the Independent Spirit Award for Best Film and Best Director.

Zhao garnered international recognition with the American film Nomadland (2020), which she wrote, produced, edited and directed, and which won numerous accolades, including the Golden Lion at the Venice Film Festival and the People's Choice Award at the Toronto International Film Festival. Earning four Academy Award nominations for the film, Zhao won Best Picture and Best Director, becoming the first woman of color to win the latter. She also won awards for directing at the Directors Guild of America Awards, Golden Globe Awards, and British Academy Film Awards, becoming the second female winner of each of them.

Zhao co-wrote and directed the Marvel Cinematic Universe superhero film Eternals (2021). Her latest film, Hamnet, premiered at the 52nd Telluride Film Festival to critical acclaim.

Description above from the Wikipedia article Chloé Zhao, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1982-03-31,"Beijing, China",/r8DmTdOqHbDUydCOVb277rncPTK.jpg,5.7104
113194,James Bamford,,1967-02-26,"Victoria, British Columbia, Canada",/nINKWQ3ej0aYNsP1kmybVASObAE.jpg,1.3824
582827,Raja Collins,"RJ Collins grew up in the entertainment business as a child actor, he then moved over to producing and directing in his 20's. His all around film making experience has had him on productions all over the world and all budget sizes. RJ has the eye on finding great narrative stories.",,Unknown,/52Lc94DFvRq7w6y2mVVijpZylMG.jpg,0.8436
129561,Josh Safdie,"Joshua Henry Safdie (born April 3, 1984) is an American filmmaker and screenwriter, best known for his work with his younger brother, Benny Safdie, as one half of the acclaimed Safdie Brothers. Together, they developed a reputation for raw, urgent storytelling in films such as Heaven Knows What (2014), Good Time (2017), and Uncut Gems (2019).

In 2024, it was reported that the Safdie Brothers would no longer co-direct and would instead pursue solo projects. Josh’s first feature since the split is Marty Supreme, starring Timothée Chalamet, scheduled for release on December 25, 2025.",1984-04-03,"New York City, New York, USA",/bNYM97KLLVoICe3fZt6bKbvXV8d.jpg,3.974
4762,Paul Thomas Anderson,"Paul Thomas Anderson (born June 26, 1970) is an American film director, producer, and screenwriter. Born in Los Angeles, Anderson developed an interest in filmmaking from a young age. An alumnus of the Sundance Institute, Anderson is famous for making often epic psychological drama films which often take place in San Fernando Valley and deal with characters seeking after redemption, forgiveness or loss; they also use wide framing as well as realistic or gritty cinematography. Anderson made his feature film debut with Hard Eight (1996). He found critical and commercial success with Boogie Nights (1997), set in the Golden Age of Porn, and received further accolades with Magnolia (1999), an ensemble piece set in the San Fernando Valley, and Punch-Drunk Love (2002), a romantic comedy-drama film.

Anderson's 2007 film There Will Be Blood, about an oil prospector during the Southern California oil boom, achieved major critical and commercial success and was often cited as one of the greatest films of the 2000s. This was followed by The Master (2012) and Inherent Vice (2014). Anderson's eighth film, Phantom Thread, was released in 2017. He has directed music videos for artists including Fiona Apple, Radiohead, Haim, Joanna Newsom, Aimee Mann, Jon Brion and Michael Penn, and has also directed a documentary, Junun (2015), about the making of the album in India. More recently, he directed a short film accompanying Thom Yorke's Anima (2019), released on Netflix and in select IMAX theatres.

Anderson's films are often characterized by their depiction of flawed and desperate characters, explorations of themes such as dysfunctional families, alienation and loneliness, a bold visual style that uses moving camera and long takes, and memorable use of music. He is noted for his frequent collaborations with actors Philip Baker Hall, Philip Seymour Hoffman, Julianne Moore, Melora Walters, John C. Reilly, Joaquin Phoenix and Daniel Day-Lewis, cinematographer Robert Elswit, costume designer Mark Bridges, and composers Jon Brion and Jonny Greenwood. His films have consistently garnered critical acclaim. Anderson has been nominated for eight Academy Awards, one Golden Globe Award and five BAFTA Awards, and has won a Best Director Award at Cannes, both Golden and a Silver Bear at Berlin and a Silver Lion at Venice.

Description above from the Wikipedia article Paul Thomas Anderson, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1970-06-26,"Studio City, California, USA",/wKAs2LtLYSUzt3ZZ8pnxMwuEWuR.jpg,11.3388
40223,Joe Carnahan,"Joseph Aaron ""Joe"" Carnahan (born May 9, 1969) is an American independent film director, screenwriter, producer and actor best known for his films Blood, Guts, Bullets and Octane, Narc, Smokin' Aces and The A-Team. He is the brother of screenwriter Matthew Michael Carnahan.",1969-05-09,"Sacramento, California, USA",/e6cnnUqh6mGIjnRFI4xFc30AqVr.jpg,1.5822
859754,Bart Layton,"Bartholomew Nicholas Layton (born 1975) is an English documentary filmmaker. He is the writer and director of the films The Imposter and American Animals.

Description above from the Wikipedia article Bart Layton, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1975-01-01,"Hammersmith, London, UK",/zAc9d3PUZmgls9Xu0lRF9Etw1Mc.jpg,1.3381
2838796,Phil Cunningham,,,Unknown,,0.3209
2508883,Brent Dawes,,,Unknown,,0.7751
10828,Guillermo del Toro,"Guillermo del Toro Gómez (Spanish: [ɡiˈʝeɾmo ðelˈtoɾo]; born 9 October 1964) is a Mexican filmmaker, author, and artist. His work has been characterized by a strong connection to fairy tales, gothicism, and horror, often blending the genres to infuse visual or poetic beauty into the grotesque. He has had a lifelong fascination with monsters, which he considers symbols of great power. He is known for pioneering dark fantasy in the film industry and using insectile and religious imagery, his themes of Catholicism, and celebrating imperfection, underworld motifs, practical special effects, and dominant amber lighting.

Throughout his career, del Toro has shifted between Spanish-language films—such as Cronos (1993), The Devil's Backbone (2001), and Pan's Labyrinth (2006)—and English-language films, including Mimic (1997), Blade II (2002), Hellboy (2004) and its sequel Hellboy II: The Golden Army(2008), Pacific Rim (2013), Crimson Peak (2015), The Shape of Water (2017), Nightmare Alley (2021), and Pinocchio (2022).

As a producer or writer, he worked on the films The Orphanage (2007), Don't Be Afraid of the Dark (2010), The Hobbit film series (2012–2014), Mama (2013), The Book of Life (2014), Pacific Rim: Uprising (2018), Scary Stories to Tell in the Dark (2019), and The Witches (2020). In 2022, he created the Netflix anthology horror series Guillermo del Toro's Cabinet of Curiosities, featuring a collection of classical horror stories.

With Chuck Hogan, he co-authored The Strain trilogy of novels (2009–2011), which was later adapted into a comic book series (2011–15) and a live-action television series (2014–17). With DreamWorks Animation and Netflix, he created the animated franchise Tales of Arcadia, which includes the series Trollhunters (2016–18), 3Below (2018–19), and Wizards (2020) and the sequel film Trollhunters: Rise of the Titans (2021).

Del Toro is close friends with fellow Mexican filmmakers Alfonso Cuarón and Alejandro G. Iñárritu, collectively known as ""The Three Amigos of Mexican Cinema"". He has received several awards, including three Academy Awards, three BAFTA Awards, two Golden Globe Awards, a Daytime Emmy Award, and a Golden Lion. He was included in Time magazine's list of the 100 most influential people in the world in 2018, and he received a motion picture star on the Hollywood Walk of Fame in 2019.",1964-10-09,"Guadalajara, Jalisco, Mexico",/gldeyCtKcaqnK1v4Vu9vqayhzUQ.jpg,11.4802
1211000,Tom Gormican,"Tom Gormican (born April 2, 1980), in Boston, Massachusetts, is an American writer, director, and producer. Born in Boston, Massachusetts, he began his career in the entertainment industry as an assistant at various production companies in New York City.

Gormican's breakout came with his directorial debut, ""That Awkward Moment"" (2014), a romantic comedy he wrote. The film, starring Zac Efron, Miles Teller, and Michael B. Jordan. Originally titled ""Are We Officially Dating?"", the screenplay garnered attention after being featured on the 2010 Hollywood Black List, highlighting the best unproduced scripts of the year. Despite mixed critical reviews, the film was a modest box office success, grossing over $16 million in its first two weeks against a budget of under $4 million.

In 2022, Gormican co-wrote and directed ""The Unbearable Weight of Massive Talent,"" a meta-action comedy featuring Nicolas Cage as a fictionalised version of himself. The film received critical acclaim for its inventive narrative and Cage's performance. It further established Gormican's reputation for blending humour with genre-bending storytelling.

Beyond film, Gormican has contributed to television, notably working on the series Ghosted (2017–2018), which combined comedy and supernatural elements.",1980-04-02,"Boston, Massachusetts, United States",/3OIo7pq87kh7Zg03szRuKFvLRSR.jpg,1.5651
1088096,James Nunn,,1985-10-24,"Surrey, England, UK",/fa83eZedZOTM4DqkX1BrEUowkaT.jpg,1.7831
293911,Scott Waugh,"Scott Waugh (born 1970) is an American film director, producer, and former stunt performer, best known for directing the 2012 war film Act of Valor with Mike McCoy. He also directed the Need for Speed film adaptation. He won the ""10 Directors to Watch"" award at the 2012 Palm Springs International Film Festival.",1970-01-01,USA,/i84mhk9KQndHi5c1IhomNdRnvFw.jpg,1.2064
57206,Sally Potter,"Charlotte Sally Potter OBE (born 19 September 1949) is an English film director and screenwriter. She is known for directing Orlando (1992), which won the audience prize for Best Film at the Venice Film Festival. She also directed The Tango Lesson (1997), The Man Who Cried (2000), Yes (2004), Rage (2009), Ginger & Rosa (2012), The Party (2017) and most recently The Roads Not Taken (2020).",1949-09-19, London ,/7hzuG6C7GD8gbBtqdoHOfwQ3P5M.jpg,0.7598
18878,Rob Cohen,"Rob Cohen is an American film director, writer and producer, best known as the creator of Universal Pictures' The Fast and the Furious movie franchise. He's a graduate in Anthropology and Visual Studies from Harvard University, Cambridge, Massachusetts, USA.",1949-03-12,"Cornwall, New York, USA",/kVbB8Q0g8eXsn8l81flyC6TgMPW.jpg,1.1158
91268,Ruben Fleischer,"Ruben Samuel Fleischer (/ˈflaɪʃər/; born October 31, 1974) is an American film director, film producer, television producer, music video director, and commercial director who lives in Montclair, New Jersey. He is best known as the director of Zombieland (2009), his first feature film, and its sequel, Zombieland: Double Tap(2019). He has also directed the films 30 Minutes or Less, Gangster Squad, Uncharted, and 2018's Venom, which features the same Marvel Comics character. Before the features, he directed television commercials for brands like Cisco, Eurostar, ESPN, and Burger King and music videos for artists such as M.I.A., Electric Six, DJ Format and Gold Chains.

Fleischer was born and raised in Washington, D.C, the son of Karen Lee (née Samuel) and David Elliot Fleischer, a physician at the Mayo Clinic in Arizona and a professor of medicine. His brother, Lucas, works in new media. His father was born to a Jewish family, while his mother converted to Judaism. Fleischer was raised in Reform Judaism.

After graduating with a history major from Wesleyan University, Fleischer moved to San Francisco, where he worked as a freelance HTML programmer, unsure what he wanted to do with his life.

Taking the advice of close friend Mike White (also a Wesleyan graduate), Fleischer worked as a PA in the writers' office of Dawson's Creek. He eventually turned to directing and worked his way through the industry, tackling music videos and television commercials before landing his first feature film, Zombieland, in 2009. His second feature, 30 Minutes or Less, opened in theaters on August 12, 2011.

Fleischer directed Gangster Squad, a 2013 action thriller film based on the special tactical group created by the LAPD to combat the Los Angeles crime family. He next directed Venom, a film about the Marvel Comics character Eddie Brock, starring Tom Hardy; it was released on October 5, 2018.

In 2019, he directed Zombieland: Double Tap, reuniting the four original leads. In February 2020, he was hired to direct Uncharted, based on the video game series of the same name. In September 2022, he was hired to direct Now You See Me 3.

Description above from the Wikipedia article Ruben Fleischer, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1974-10-31,"Washington, D.C., USA",/3JLxOPFTLigSy8FjFjDyMwD9GIp.jpg,1.2299
56533,Claudio Fäh,"Claudio Fäh is a Swiss-born film director. He directed Hollow Man 2, Ghost Whisperer: The Other Side II, Starship Troopers: Marauder.",1975-03-29,"Altdorf, Switzerland",,1.8436
1453550,Chris Appelhans,"Chris Appelhans (born April 28, 1980) is an American illustrator, production designer, and director known for writing/directing Sony Pictures Animation's Wish Dragon (2021) and co-directing KPop Demon Hunters (2025). He started as a concept artist for films like Monster House, The Princess and the Frog, and Coraline, earning an Annie Award nomination for Coraline, and has illustrated children's books like A Greyhound, a Groundhog. He studied at Art Center College of Design and resides in Los Angeles with his wife, author Maurene Goo. Their son was born in 2020.",1980-04-28,"Idaho, USA",/33jtvCKnmBTb1pPMTobUMca7BkS.jpg,1.8086
3003169,Maggie Kang,"Maggie Kang (born June 10, 1981) is a Canadian film director. She created and co-directed KPop Demon Hunters (2025).",1981-06-10,"Seoul, South Korea",/8OU7VfVMY7tfxUVFiBuy0zY9V3t.jpg,1.0678
21053,John Dahl,"John Dahl (born 1956) is an American film director and screenwriter, best known for his work in the neo-noir genre.",1956-12-11,"Billings, Montana, USA",/8WDCi9LJ9Lc7z6BSwGiQqfkSx61.jpg,0.9668
2122835,Tyree Dillihay,"Tyree Dillihay was born on May 4, 1980 in the USA. He is a director, known for Bob's Burgers (2011), GOAT (2026) and Axe Cop (2012).",1980-05-04,USA,/cA4rfx4HwDYmmxpJoBclTZTjcEN.jpg,1.8227
99096,Brandon Slagle,,1977-04-26,"Austin, Texas, USA",/v9c5nOLG05bXqQ4sOfSBLIcEWJb.jpg,0.6881
1795072,Nia DaCosta,"Nia DaCosta (born November 8, 1989) is an American filmmaker. She rose to prominence with her feature-length directorial debut, Little Woods (2018), a crime thriller, which won the Nora Ephron Prize for Female Filmmakers at the Tribeca Film Festival.

After working on other projects, most notably directing two episodes of the British thriller series Top Boy in 2019, DaCosta became the first Black female director to debut at No. 1 at the U.S. box office for the weekend opening of the horror film Candyman (2021). She then became the first black woman to direct a Marvel Comics film with The Marvels (2023), which, despite being a box-office bomb, became the highest-grossing film directed by a black woman.

Description above from the Wikipedia article Nia DaCosta, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1989-11-08,"Brooklyn, New York City, New York, USA",/zRyaLNXLT2gKgPvLreyg3GeEIdD.jpg,2.1071
